0	2.97353	-0.389497	-0.264658	6.30648e-05	0.000772181	0.000630648	nan	1
0.1	2.94707	-0.389487	-0.26457	0.000135635	0.000878747	0.000725701	nan	1
0.2	2.92062	-0.389469	-0.26447	0.000219009	0.000998248	0.000833738	nan	1
0.3	2.89418	-0.389442	-0.264357	0.00031464	0.00113197	0.000956311	nan	1
0.4	2.86775	-0.389406	-0.264229	0.000424152	0.0012813	0.00109512	nan	1
0.5	2.84133	-0.389357	-0.264084	0.000549355	0.00144768	0.00125203	nan	1
0.6	2.81493	-0.389295	-0.263921	0.000692263	0.00163265	0.00142908	nan	1
0.7	2.78855	-0.389217	-0.263737	0.000855109	0.00183784	0.00162845	nan	1
0.8	2.76218	-0.389123	-0.263531	0.00104036	0.00206491	0.00185256	nan	1
0.9	2.73584	-0.389008	-0.263299	0.00125076	0.00231563	0.00210396	nan	1
1	2.70953	-0.388871	-0.26304	0.0014893	0.00259176	0.00238544	nan	1
1.1	2.68324	-0.388709	-0.26275	0.0017593	0.00289514	0.00269996	nan	1
1.2	2.65698	-0.388517	-0.262428	0.00206437	0.00322759	0.00305069	nan	1
1.3	2.63075	-0.388294	-0.262069	0.00240847	0.00359095	0.00344099	nan	1
1.4	2.60457	-0.388034	-0.26167	0.00279591	0.003987	0.0038744	nan	1
1.5	2.57842	-0.387732	-0.261228	0.00323138	0.00441746	0.00435468	nan	1
1.6	2.55232	-0.387385	-0.26074	0.00371995	0.00488396	0.0048857	nan	1
1.7	2.52627	-0.386985	-0.260201	0.0042671	0.00538798	0.00547154	nan	1
1.8	2.50028	-0.386528	-0.259608	0.00487874	0.00593081	0.00611637	nan	1
1.9	2.47436	-0.386006	-0.258957	0.00556119	0.00651351	0.00682448	nan	1
2	2.4485	-0.385412	-0.258243	0.00632121	0.00713683	0.00760022	nan	1
2.1	2.42271	-0.384738	-0.257463	0.007166	0.00780121	0.00844797	nan	1
2.2	2.39701	-0.383974	-0.256612	0.00810321	0.00850664	0.00937208	nan	1
2.3	2.37139	-0.383112	-0.255687	0.0091409	0.00925265	0.0103768	nan	1
2.4	2.34587	-0.38214	-0.254683	0.0102875	0.0100382	0.0114664	nan	1
2.5	2.32046	-0.381049	-0.253597	0.011552	0.0108617	0.0126447	nan	1
2.6	2.29516	-0.379824	-0.252425	0.0129435	0.0117208	0.0139153	nan	1
2.7	2.26998	-0.378453	-0.251164	0.0144717	0.0126123	0.0152815	nan	1
2.8	2.24493	-0.376922	-0.24981	0.0161463	0.0135325	0.0167461	nan	1
2.9	2.22002	-0.375216	-0.248363	0.0179774	0.0144766	0.0183113	nan	1
3	2.19526	-0.373318	-0.246819	0.0199753	0.0154388	0.0199786	178.938	1
3.1	2.17066	-0.371212	-0.245177	0.0221501	0.0164125	0.0217486	177.754	1
3.2	2.14623	-0.368879	-0.243438	0.0245123	0.0173902	0.0236212	176.814	1
3.3	2.12198	-0.3663	-0.241602	0.0270717	0.0183631	0.0255949	175.915	1
3.4	2.09792	-0.363454	-0.23967	0.0298385	0.0193218	0.0276673	175.005	1
3.5	2.07405	-0.360321	-0.237644	0.0328219	0.0202557	0.0298343	174.06	1
3.6	2.05039	-0.356878	-0.235529	0.036031	0.0211534	0.0320906	173.067	1
3.7	2.02695	-0.353103	-0.233329	0.0394739	0.022003	0.034429	172.017	1
3.8	2.00373	-0.348972	-0.23105	0.0431579	0.0227915	0.0368405	170.904	1
3.9	1.98074	-0.344459	-0.228699	0.0470893	0.0235058	0.0393141	169.721	1
4	1.95799	-0.339541	-0.226286	0.051273	0.0241322	0.0418365	168.467	1
4.1	1.93549	-0.334192	-0.22382	0.0557122	0.0246573	0.0443921	167.139	1
4.2	1.91323	-0.328386	-0.221313	0.0604084	0.0250674	0.0469627	165.738	1
4.3	1.89123	-0.322097	-0.218778	0.0653612	0.0253497	0.0495273	164.264	1
4.4	1.86948	-0.315301	-0.216229	0.0705674	0.025492	0.0520619	162.72	1
4.5	1.84798	-0.307972	-0.213681	0.0760213	0.0254831	0.0545394	161.112	1
4.6	1.82674	-0.300085	-0.21115	0.0817142	0.0253134	0.0569293	159.447	1
4.7	1.80575	-0.291617	-0.208652	0.087634	0.0249752	0.0591977	157.733	1
4.8	1.78501	-0.282547	-0.206206	0.0937647	0.0244632	0.0613069	155.983	1
4.9	1.76451	-0.272855	-0.203828	0.100086	0.0237745	0.0632159	154.208	1
5	1.74424	-0.262522	-0.201537	0.106574	0.0229094	0.0648796	152.425	1
5.1	1.72419	-0.251533	-0.19935	0.113199	0.0218719	0.0662495	150.647	1
5.2	1.70436	-0.239877	-0.197283	0.119927	0.0206696	0.0672739	148.892	1
5.3	1.68473	-0.227545	-0.195352	0.126716	0.0193143	0.0678978	147.176	1
5.4	1.66528	-0.214533	-0.193569	0.133523	0.0178223	0.0680641	145.516	1
5.5	1.64601	-0.200842	-0.191948	0.140294	0.0162142	0.0677139	143.927	1
5.6	1.62688	-0.186479	-0.190497	0.146973	0.0145154	0.0667877	142.424	1
5.7	1.6079	-0.171455	-0.189221	0.153496	0.0127556	0.0652271	141.02	1
5.8	1.58903	-0.155791	-0.188124	0.159793	0.0109685	0.0629759	139.726	1
5.9	1.57027	-0.139511	-0.187205	0.165791	0.00919132	0.0599822	138.552	1
6	1.55158	-0.122651	-0.186459	0.171412	0.00746398	0.0562008	137.505	1
6.1	1.53297	-0.105252	-0.185876	0.176571	0.0058279	0.0515955	136.592	1
6.2	1.5144	-0.0873644	-0.185443	0.181185	0.00432471	0.0461415	135.819	1
6.3	1.49587	-0.0690467	-0.185144	0.185168	0.00299465	0.0398281	135.188	1
6.4	1.47737	-0.0503666	-0.184956	0.188434	0.00187474	0.0326607	134.705	1
6.5	1.45887	-0.0313999	-0.184857	0.1909	0.000996892	0.0246632	134.372	1
6.6	1.44039	-0.0122305	-0.184818	0.192488	0.000386003	0.015879	134.193	1
6.7	1.42191	0.00705023	-0.184812	0.193126	5.81549e-05	0.00637179	134.171	1
6.8	1.40343	0.0263439	-0.18481	0.192748	1.91248e-05	-0.00377456	134.311	1
