# Tangente	        Campo del Solenoide
5.0000000000e-02	2.7318196988e-02
1.8000000000e-01	5.4636393975e-02
2.3000000000e-01	8.1954590963e-02
3.6000000000e-01	1.0927278795e-01
4.4000000000e-01	1.3659098494e-01
5.3000000000e-01	1.6390918193e-01
5.8000000000e-01	1.9122737891e-01
6.7000000000e-01	2.1854557590e-01
7.3000000000e-01	2.4586377289e-01
7.8000000000e-01	2.7318196988e-01
