# Tangente	        Campo del Solenoide
1.0000000000e-01	3.2781836385e-02
2.5000000000e-01	6.5563672771e-02
3.6000000000e-01	9.8345509156e-02
4.7000000000e-01	1.3112734554e-01
5.8000000000e-01	1.6390918193e-01
6.5000000000e-01	1.9669101831e-01
7.8000000000e-01	2.2947285470e-01
8.4000000000e-01	2.6225469108e-01
8.7000000000e-01	2.9503652747e-01
9.7000000000e-01	3.2781836385e-01
